,0,1,2
TotalHeight,-0.23019327230467582,-0.6291433034629428,-0.3732769414306004
Foliararea_cm2,-0.5395736641573429,-0.32706725226709066,-0.24229455724442178
wooddensity_core_g/cm3,0.5220671780018818,0.1830873298258421,-0.6540966255715102
SLA,-0.37427617705863536,0.4878645420281452,-0.5818806354935865
LDMC,0.49318812158547437,-0.47505045467939744,-0.1884945701591674
