BioRegion,species,TotalHeight,Foliararea_cm2,wooddensity_core_g/cm3,SLA,LDMC,individualnumberpersite
Caribe,Albizia saman,16.0,137.47520000000003,0.56,102.87822004291243,484.2947934167672,10
Caribe,Aspidosperma polyneuron,8.05,26.633992500000005,0.8615,140.63080047765126,419.65785559916486,529
Caribe,Astronium graveolens,12.056410256410254,122.91995,0.8192307692307692,175.46798992182792,476.42938996907804,1107
Caribe,Astronium graveolens,12.056410256410254,122.91995,0.8192307692307692,175.46798992182792,476.42938996907804,270
Caribe,Astronium graveolens,12.056410256410254,122.91995,0.8192307692307692,175.46798992182792,476.42938996907804,275
Caribe,Astronium graveolens,12.056410256410254,122.91995,0.8192307692307692,175.46798992182792,476.42938996907804,425
Caribe,Bulnesia arborea,9.702631578947368,26.265842105263157,0.9836842105263158,129.25555117872932,458.5288327688487,505
Caribe,Bursera simaruba,11.694736842105264,204.40029473684208,0.33894736842105266,173.68932752557225,258.4888795883378,570
Caribe,Bursera simaruba,11.694736842105264,204.40029473684208,0.33894736842105266,173.68932752557225,258.4888795883378,230
Caribe,Bursera simaruba,11.694736842105264,204.40029473684208,0.33894736842105266,173.68932752557225,258.4888795883378,275
Caribe,Bursera simaruba,11.694736842105264,204.40029473684208,0.33894736842105266,173.68932752557225,258.4888795883378,590
Caribe,Caesalpinia ebano,12.142424242424244,41.81527348484849,0.9003030303030303,134.57773989358543,505.72203206597646,1013
Caribe,Ceiba pentandra,12.844230769230771,213.9263076923077,0.27615384615384614,93.39088909943605,432.7943645286478,725
Caribe,Ceiba pentandra,12.844230769230771,213.9263076923077,0.27615384615384614,93.39088909943605,432.7943645286478,275
Caribe,Ceiba pentandra,12.844230769230771,213.9263076923077,0.27615384615384614,93.39088909943605,432.7943645286478,35
Caribe,Ceiba pentandra,12.844230769230771,213.9263076923077,0.27615384615384614,93.39088909943605,432.7943645286478,606
Caribe,Enterolobium cyclocarpum,15.514999999999997,218.92245545333336,0.3894999999999999,98.24783518921552,501.60241989829166,378
Caribe,Enterolobium cyclocarpum,15.514999999999997,218.92245545333336,0.3894999999999999,98.24783518921552,501.60241989829166,535
Caribe,Hura crepitans,13.919999999999998,94.70703750000001,0.3872500000000001,158.08326146621476,269.7254445032145,1102
Caribe,Hura crepitans,13.919999999999998,94.70703750000001,0.3872500000000001,158.08326146621476,269.7254445032145,275
Caribe,Hura crepitans,13.919999999999998,94.70703750000001,0.3872500000000001,158.08326146621476,269.7254445032145,35
Caribe,Platymiscium pinnatum,10.326190476190474,119.62004083809526,0.8185714285714288,138.64261053655872,377.5327508794309,488
Caribe,Platymiscium pinnatum,10.326190476190474,119.62004083809526,0.8185714285714288,138.64261053655872,377.5327508794309,275
Caribe,Platymiscium pinnatum,10.326190476190474,119.62004083809526,0.8185714285714288,138.64261053655872,377.5327508794309,235
Caribe,Swietenia macrophylla,28.0,553.146748,0.49399999999999994,119.32984802838166,416.6791194996191,75
Caribe,Tabebuia rosea,11.86190476190476,312.8089338,0.4871428571428571,116.28690022859031,393.10046280341044,638
Caribe,Tabebuia rosea,11.86190476190476,312.8089338,0.4871428571428571,116.28690022859031,393.10046280341044,15
Chicamocha,Astronium graveolens,7.611111111111111,83.51237777777779,0.9622222222222221,129.63335218710893,470.4238382068954,1107
Chicamocha,Astronium graveolens,7.611111111111111,83.51237777777779,0.9622222222222221,129.63335218710893,470.4238382068954,270
Chicamocha,Astronium graveolens,7.611111111111111,83.51237777777779,0.9622222222222221,129.63335218710893,470.4238382068954,275
Chicamocha,Astronium graveolens,7.611111111111111,83.51237777777779,0.9622222222222221,129.63335218710893,470.4238382068954,425
Chicamocha,Bursera simaruba,6.271428571428571,184.38434285714285,0.3657142857142857,128.73269915087786,318.47815976788536,570
Chicamocha,Bursera simaruba,6.271428571428571,184.38434285714285,0.3657142857142857,128.73269915087786,318.47815976788536,230
Chicamocha,Bursera simaruba,6.271428571428571,184.38434285714285,0.3657142857142857,128.73269915087786,318.47815976788536,275
Chicamocha,Bursera simaruba,6.271428571428571,184.38434285714285,0.3657142857142857,128.73269915087786,318.47815976788536,590
Chicamocha,Ceiba pentandra,13.669999999999998,281.06206444444445,0.357,99.47396226057323,441.82760052657943,725
Chicamocha,Ceiba pentandra,13.669999999999998,281.06206444444445,0.357,99.47396226057323,441.82760052657943,275
Chicamocha,Ceiba pentandra,13.669999999999998,281.06206444444445,0.357,99.47396226057323,441.82760052657943,35
Chicamocha,Ceiba pentandra,13.669999999999998,281.06206444444445,0.357,99.47396226057323,441.82760052657943,606
Chicamocha,Hura crepitans,7.2,71.18158000000001,0.445,123.78650578019611,282.173995526813,1102
Chicamocha,Hura crepitans,7.2,71.18158000000001,0.445,123.78650578019611,282.173995526813,275
Chicamocha,Hura crepitans,7.2,71.18158000000001,0.445,123.78650578019611,282.173995526813,35
Chicamocha,Platymiscium pinnatum,6.44,119.77127716,0.8380000000000001,88.21997198146887,435.4096139893083,488
Chicamocha,Platymiscium pinnatum,6.44,119.77127716,0.8380000000000001,88.21997198146887,435.4096139893083,275
Chicamocha,Platymiscium pinnatum,6.44,119.77127716,0.8380000000000001,88.21997198146887,435.4096139893083,235
Tatacoa,Astronium graveolens,10.66,94.77228,0.8019999999999999,135.04369686996827,385.1322860955012,1107
Tatacoa,Astronium graveolens,10.66,94.77228,0.8019999999999999,135.04369686996827,385.1322860955012,270
Tatacoa,Astronium graveolens,10.66,94.77228,0.8019999999999999,135.04369686996827,385.1322860955012,275
