species,PC1,PC2,BioRegion
Albizia saman,0.5981360242172646,-1.109593767645988,Caribe
Aspidosperma polyneuron,1.5583423267775798,1.2923773206353704,Caribe
Astronium graveolens,0.8034683954074207,0.5307186273143216,Caribe
Bulnesia arborea,2.0388253622622727,0.843051028107771,Caribe
Bursera simaruba,-1.7052907636485328,1.0050010823574926,Caribe
Caesalpinia ebano,1.8436362344575998,0.2183964918875051,Caribe
Ceiba pentandra,-0.4042259552261954,-0.9535987425803789,Caribe
Enterolobium cyclocarpum,-0.008403154793902246,-1.5355171933415608,Caribe
Hura crepitans,-1.0221324022629885,0.8061042383028152,Caribe
Platymiscium pinnatum,0.7234445535773523,0.8570295040364402,Caribe
Swietenia macrophylla,-2.5564360786015765,-3.5182597027840865,Caribe
Tabebuia rosea,-0.7222504242259833,-0.4799912373970376,Caribe
Astronium graveolens,1.8931693409801609,0.9115497170266842,Chicamocha
Bursera simaruba,-0.5931601925454055,1.0716538484900981,Chicamocha
Ceiba pentandra,-0.5790659996477184,-1.1704916099434195,Chicamocha
Hura crepitans,-0.083702914957829,1.4369740968078655,Chicamocha
Platymiscium pinnatum,1.6820606718941333,0.5933643902806661,Chicamocha
Astronium graveolens,0.8508890883820786,0.789475502174095,Tatacoa
Bursera simaruba,-0.8889023775481626,0.8524785003253947,Tatacoa
Ceiba pentandra,-0.4743606084008798,-1.1529992482879345,Tatacoa
Astronium graveolens,1.2756139990088895,-0.4818286860199673,Valle del Cauca
Bursera simaruba,-0.3991150775114982,0.3148086241376249,Valle del Cauca
Ceiba pentandra,-0.7330702773369827,-0.8086553434176276,Valle del Cauca
Enterolobium cyclocarpum,-0.37337160745895825,-1.9316376089641698,Valle del Cauca
Hura crepitans,-1.5237627510166267,1.4150159830775575,Valle del Cauca
Hymenaea courbaril,1.7284757488318063,-1.4085435934045885,Valle del Cauca
Platymiscium pinnatum,1.1718766378233567,-0.7954976768740035,Valle del Cauca
Tabebuia rosea,-4.100687798436677,2.4086154556990587,Valle del Cauca
