sp;nombre_campo;Hoja;Bosque;Th;Es;AF;UM;pf_hoja (g);ps_hoja (g);pf_madera (g);volf_madera (cm3);Indv
sp_3;14;1;seco;simple;0,277;1312,1;1312,1;0,4772;0,2525;2,8513;2,37;5
sp_3;14;2;seco;simple;0,21;366,6;366,6;0,1056;0,0465;2,8513;2,37;5
sp_3;14;3;seco;simple;0,182;463,5;463,5;0,1349;0,0587;2,8513;2,37;5
sp_3;14;4;seco;simple;0,233;618,3;618,3;0,2107;0,1067;2,8513;2,37;5
sp_3;14;5;seco;simple;0,228;604,6;604,6;0,1948;0,085;2,8513;2,37;5
sp_3;15;1;seco;compuesta;0,35;7114,9;2057,1;3,5853;0,9406;3,3941;2,97;3
sp_3;15;2;seco;compuesta;0,317;7063,5;1324,6;3,6837;0,9631;3,3941;2,97;3
sp_3;15;3;seco;compuesta;0,278;10113;1349,1;4,5265;1,2558;3,3941;2,97;3
sp_3;15;4;seco;compuesta;0,368;7611,5;1087,3;3,5436;0,9474;3,3941;2,97;3
sp_3;15;5;seco;compuesta;0,338;7395,4;768,7;3,6607;0,996;3,3941;2,97;3
sp_5;2;1;seco;simple;0,185;1093,4;1093,4;0,5245;0,2103;2,5218;2,21;2
sp_5;2;2;seco;simple;0,21;1292,9;1292,9;0,5619;0,2155;2,5218;2,21;2
sp_5;2;3;seco;simple;0,199;1336;1336;0,5187;0,1923;2,5218;2,21;2
sp_5;2;4;seco;simple;0,189;1234,8;1234,8;0,5177;0,1951;2,5218;2,21;2
sp_5;2;5;seco;simple;0,168;988,4;988,4;0,3689;0,1426;2,5218;2,21;2
sp_5;21;1;seco;compuesta;0,121;6363,6;1466;1,5269;0,2778;12,1236;11,54;2
sp_5;21;2;seco;compuesta;0,11;6096,2;1522,5;1,2789;0,2049;12,1236;11,54;2
sp_5;21;3;seco;compuesta;0,109;5443,5;1437,9;1,2515;0,2314;12,1236;11,54;2
sp_5;21;4;seco;compuesta;0,151;4947,8;1019,5;1,1543;0,216;12,1236;11,54;2
sp_5;21;5;seco;compuesta;0,13;5857,8;1636,1;1,137;0,2635;12,1236;11,54;2
sp_5;23;1;seco;compuesta;0,173;32559,9;5328,1;10,7759;2,5488;4,5163;3,91;1
sp_5;23;2;seco;compuesta;0,179;19054,8;4172,7;7,0762;1,6467;4,5163;3,91;1
sp_5;23;3;seco;compuesta;0,173;8951;1115,6;2,9335;0,5755;4,5163;3,91;1
sp_5;23;4;seco;compuesta;0,231;15290,7;2905,9;5,6578;1,0311;4,5163;3,91;1
sp_5;23;5;seco;compuesta;0,182;19249,7;3745,8;6,3216;1,6329;4,5163;3,91;1
sp_6;24;1;seco;compuesta;0,106;2945,9;766,5;0,3446;0,1024;4,3884;5,56;3
sp_6;24;2;seco;compuesta;0,13;5264,5;1186,2;0,624;0,1753;4,3884;5,56;3
sp_6;24;3;seco;compuesta;0,111;3240,1;665;0,3623;0,1125;4,3884;5,56;3
sp_6;24;4;seco;compuesta;0,11;3555,6;963,9;0,4034;0,1219;4,3884;5,56;3
sp_6;24;5;seco;compuesta;0,096;4344,6;925,8;0,5438;0,1401;4,3884;5,56;3
sp_6;25;1;seco;compuesta;0,153;6103,9;1678,2;0,6862;0,1883;5,3632;5,56;4
sp_6;25;2;seco;compuesta;0,167;3790;885,7;0,4943;0,1344;5,3632;5,56;4
sp_6;25;3;seco;compuesta;0,154;4458,9;1111,8;0,4955;0,1597;5,3632;5,56;4
sp_6;25;4;seco;compuesta;0,148;2871,2;620,8;0,3696;0,0993;5,3632;5,56;4
sp_6;25;5;seco;Compuesta;0,126;4617,6;921,8;0,5521;0,1771;5,3632;5,56;4
sp_6;26;1;seco;compuesta;0,157;;;1,2681;0,2736;1,6095;1,1;1
sp_6;26;2;seco;compuesta;0,097;;;1,569;0,2638;1,6095;1,1;1
sp_6;26;3;seco;compuesta;0,143;;;1,483;0,3235;1,6095;1,1;1
sp_6;26;4;seco;compuesta;0,149;;;1,1754;0,2383;1,6095;1,1;1
sp_6;26;5;seco;compuesta;0,118;;;1,042;0,2548;1,6095;1,1;1
sp_7;27;1;Humedo;simple;0,248;155,2;155,2;4,6304;1,6688;4,5225;3,97;1
sp_7;27;2;Humedo;simple;0,168;109,1;109,1;2,8468;1,0324;4,5225;3,97;1
sp_7;27;3;Humedo;simple;0,172;154,7;154,7;5,1622;1,8533;4,5225;3,97;1
sp_7;27;4;Humedo;simple;0,167;121,4;121,4;3,724;1,3539;4,5225;3,97;1
sp_7;27;5;Humedo;simple;0,168;103,5;103,5;2,6052;0,9548;4,5225;3,97;1
